route_id,route_short_name,route_long_name,route_type_desc
632,323A,Ma Na Pa Main Stand to Gharkul Vasahat Chikhali (DOWN),Bus
633,323,Nageshwar Vidyalaya Chikhli to Ma Na Pa Main Stand (UP),Bus
634,323,Ma Na Pa Main Stand to Nageshwar Vidyalaya Chikhli (DOWN),Bus
635,324,Hinjawadi Maan Phase 3 to Bhosari Terminal (UP),Bus
636,324,Bhosari Terminal to Hinjawadi Maan Phase 3 (DOWN),Bus
641,326,Nageshwar Vidyalaya Chikhli to Pimprigaon (UP),Bus
642,326,Pimprigaon to Nageshwar Vidyalaya Chikhli (DOWN),Bus
647,327,Hinjawadi Maan Phase 3 to Alandi (UP),Bus
648,327,Alandi to Hinjawadi Maan Phase 3 (DOWN),Bus
654,329,Siddhanta College Sudumbare to Pimpri Road (UP),Bus
655,329,Pimpri Road to Siddhanta College Sudumbare (DOWN),Bus
656,330,Talegaon Dhabhade Maruti Mandir to Alandi (UP),Bus
657,330,Alandi to Talegaon Dhabhade Maruti Mandir (DOWN),Bus
659,331A,Pimple Saudagar- Mahadev Mandir / Pimple Saudagar to Charholigaon Burde Vasti (UP),Bus
661,331A,Charholigaon Burde Vasti to Pimple Saudagar (DOWN),Bus
662,331B,Pimple Saudagar- Mahadev Mandir / Pimple Saudagar to Charholigaon (UP),Bus
663,331B,Charholigaon to Pimple Saudagar (DOWN),Bus
666,331,Pimple Saudagar- Mahadev Mandir / Pimple Saudagar to Bhosari Gavhane Vasti (UP),Bus
667,331,Bhosari Gavhane Vasti to Pimple Saudagar (DOWN),Bus
1266,332,Tata Motors Bebadohal to Nigdi Pawale Chowk (UP),Bus
1267,332,Nigdi Pawale Chowk to Tata Motors Bebadohal (DOWN),Bus
670,333,Hinjawadi Maan Phase 3 to Pune Station Moledina Stand (UP),Bus
671,333,Pune Station Moledina Stand to Hinjawadi Maan Phase 3 (DOWN),Bus
672,334,Gharkul Vasahat Chikhali to Pimprigaon (UP),Bus
673,334,Pimprigaon to Gharkul Vasahat Chikhali (DOWN),Bus
678,336,Nigdi Bhakti Shakti to Kesnand Phata Wagholi (UP),Bus
679,336,Wagholi Kesnand Phata to Bhakti Shakti Stand (DOWN),Bus
1326,337,Dsk Vishwa to Nigdi Bhakti Shakti Stand (UP),Bus
1327,337,Nigdi Bhakti Shakti Stand to Dsk Vishwa (DOWN),Bus
682,339,Sant Nagar Rto Office to Gujarwadi Pmt Bus Stand (UP),Bus
683,339,Gujarwadi Pmt Bus Stand to Sant Nagar Rto Office (DOWN),Bus
684,340,Alandi to Nigdi Pawale Chowk (UP),Bus
685,340,Nigdi Pawale Chowk to Alandi (DOWN),Bus
686,341,Urse Gaon Vasudev Aashram to Nigdi Pawale Chowk (UP),Bus
687,341,Nigdi Pawale Chowk to Urse Gaon Vasudev Aashram (DOWN),Bus
694,343,Talegaon Dhabhade Maruti Mandir to Chakan Ambethan Chowk (UP),Bus
695,343,Chakan Ambethan Chowk to Talegaon Dhabhade Maruti Mandir (DOWN),Bus
696,344,Baner Depot to Alandi (UP),Bus
697,344,Alandi to Baner Depot (DOWN),Bus
698,345,Hinjawadi Maan Phase 3 to Bhosari Terminal (UP),Bus
699,345,Bhosari Terminal to Hinjawadi Maan Phase 3 (DOWN),Bus
700,346,Bhosari Pmt Chowk to Kesnand Phata Wagholi (UP),Bus
701,346,Wagholi Kesnand Phata to Bhosari Pmt Chowk (DOWN),Bus
704,348,Nigdi Bhakti Shakti to Pune Station Moledina Stand (UP),Bus
705,348,Pune Station Moledina Stand to Nigdi Bhakti Shakti (DOWN),Bus
708,350,Sant Tukaram Maharaj Krida Sankul Dehugaon to Nigdi Tilak Chowk (UP),Bus
