stop_id,stop_name,stop_lat,stop_lon
571,D Mart Balewadi,18.5662273706468,73.7706935782922
544,Kalamkar Vasti,18.5644854682224,73.775634898111
86,Sadanand Hotel,18.568399,73.766998
545,Prabhavi Tech Park,18.564236888012,73.7789785809472
572,Mhalunge Corner,18.569401,73.7649
546,Balewadi Phata,18.563499,73.783096
573,Mhalunge Stadium Gate,18.5712343335616,73.760643017921
547,Banergaon Odha,18.5616,73.785896
574,Shitala Devi Nagar,18.5723,73.758598
548,Banergaon,18.5599,73.7892
575,Surymukhi Ganesh Mandir,18.5733276843193,73.7569081816924
549,Kapil Malhar Society,18.558901,73.791603
550,Kundan Garden,18.556601,73.794403
577,Shahid Sopan Padalenagar,18.573601,73.755096
551,Ambedkar Nagar Baner,18.555099,73.796204
552,Mahabaleshwar Hotel,18.5549873640425,73.7986984848976
553,Trimurti Bungalow,18.5546,73.8013
579,Hotel Vithai,18.568399,73.747398
554,Green Park,18.5519321801428,73.8040548969007
580,Green Hill Colony,18.568060915948,73.7449556456246
555,Someshwarwadi Phata,18.5511,73.805099
581,Waghjainagar Mhalunge,18.566099,73.7397
106464,Baner Phata,18.5501952075427,73.8089383165258
582,River Hills Society,18.565399,73.737
485,National Society Baner Road,18.549601,73.810997
583,Bajirao Padale Chowk Mhalunge,18.5646,73.735603
486,Sindh Colony Baner Road,18.548,73.814796
487,Abhiman Shree Baner Road,18.547199,73.816902
488,Sakal Nagar Baner Road,18.546499,73.819397
489,Chavan Nagar Baner Road,18.545,73.823196
3854,Pune Vidhyapeeth Gate Aundh Road,18.5425266847421,73.8266913605965
392,Swargate Natraj Stand,18.5005,73.857697
393,Parvati Payatha,18.499201,73.852402
394,Dandekar Pul,18.5008505361914,73.8480830464116
395,Panmala,18.5005,73.844902
377,Parvati Jalshuddhikaran Kendra,18.4980081329109,73.8412007691113
396,Ganeshmala,18.4948538201876,73.837158806192
624,P.L. Deshpande Udyan,18.4936157168358,73.8357319284468
625,Vitthalwadi Jakat Naka,18.491000547838,73.8331741256662
626,Jaidev Nagar,18.4891523649665,73.8309009679899
656,Vadgaon Budruk Stand,18.467501,73.821899
654,Vadgaon Budruk Stand,18.4674,73.822098
655,Goyal Ganga Society,18.4701453886435,73.8231468729143
621,Jaidev Nagar,18.489401,73.831001
622,Vitthalwadi Jakat Naka,18.491130014308,73.8331273198128
623,P.L. Deshpande Udyan,18.4933416347636,73.8352776909915
3320,Ganeshmala,18.4960248569661,73.8382915269441
106603,Parvati Jalshuddhikaran Kendra,18.4981920426807,73.8412368799211
378,Panmala,18.500559527501,73.8447545486242
379,Dandekar Pul,18.500958607288,73.8481474457259
